data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.711408
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.282957
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.213811
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.100581
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.072919
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.032408
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.073398
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.053364
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.051301
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.006008
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.024506
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.013037
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.029681
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.011707
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.019086
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.004289
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.011516
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.001744
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.010361
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.003743
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.009128
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.002228
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.005803
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.002266
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.004574
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.003309
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003779
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.001969
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002891
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.002538
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002698
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.001558
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002289
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.002198
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002375
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.001815
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.002040
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.001799
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.002046
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.002018
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001810
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.001675
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001613
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.001616
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001602
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:023, data loss:0.002025
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001566
