data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.527929
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.087577
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.080795
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.091008
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.080053
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.006752
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.029171
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.025103
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.031725
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.005583
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.011212
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.004286
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.011059
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.003891
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007146
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.002723
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004138
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.001987
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003599
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.002695
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002872
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.001996
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002148
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.002223
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002103
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.001674
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001857
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.001626
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001612
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.001780
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001640
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.002770
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001380
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.001396
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001536
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.001597
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001181
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.001856
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001418
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.002202
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001327
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.001834
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001103
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.001043
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001028
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:023, data loss:0.001009
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001061
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:024, data loss:0.001656
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000854
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:025, data loss:0.001358
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000858
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:026, data loss:0.001190
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000851
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:027, data loss:0.001335
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000817
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:028, data loss:0.001511
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000824
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:029, data loss:0.002048
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000799
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:030, data loss:0.001503
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000794
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:031, data loss:0.000623
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000855
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:032, data loss:0.000388
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000912
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:033, data loss:0.001574
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000688
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:034, data loss:0.002101
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000730
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:035, data loss:0.001241
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000626
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:036, data loss:0.000523
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000580
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:037, data loss:0.000521
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000566
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:038, data loss:0.001169
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000575
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:039, data loss:0.000851
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000520
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:040, data loss:0.001346
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000536
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:041, data loss:0.001599
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000654
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:042, data loss:0.000504
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000605
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:043, data loss:0.000473
