data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.517137
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.131661
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.075395
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.052565
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.078610
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.013040
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.037220
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.023299
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.034416
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.007353
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.021651
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.003515
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.015091
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.002490
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.010495
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.001443
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.006633
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.001289
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004871
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.002058
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003126
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.001933
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002642
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.001651
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002029
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.001330
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001814
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.001925
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001788
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.002357
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001440
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:016, data loss:0.001578
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001208
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:017, data loss:0.000971
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001710
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:018, data loss:0.001371
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001221
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:019, data loss:0.001946
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001271
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:020, data loss:0.001981
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001087
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:021, data loss:0.001693
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001038
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:022, data loss:0.001820
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001060
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:023, data loss:0.001767
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001105
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:024, data loss:0.001476
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000991
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:025, data loss:0.001556
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000966
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:026, data loss:0.001961
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000985
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:027, data loss:0.001924
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000930
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:028, data loss:0.001854
