data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.765974
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.495523
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.431711
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.231605
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.229646
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.131308
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.169920
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.164427
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.169315
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.127061
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.109819
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.035714
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.036757
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.011740
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.041732
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.031284
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.052350
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.017884
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.028466
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.018009
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.017927
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.033114
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.018352
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.018234
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.011636
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.003191
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.015537
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.003430
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.015676
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.009050
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.008454
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:016, data loss:0.012039
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.008693
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:017, data loss:0.007174
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.005702
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:018, data loss:0.002587
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.005290
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:019, data loss:0.000981
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.005102
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:020, data loss:0.001420
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.003003
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:021, data loss:0.004246
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.002958
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:022, data loss:0.006363
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.003346
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:023, data loss:0.004585
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.002866
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:024, data loss:0.002634
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.002927
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:025, data loss:0.002524
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.002795
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:026, data loss:0.003902
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.002721
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:027, data loss:0.004841
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.002438
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:028, data loss:0.003948
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001994
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:029, data loss:0.002244
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001748
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:030, data loss:0.001978
