,total_cycles,initial_capacity,final_capacity,capacity_loss,capacity_loss_rate,mean_capacity,std_capacity,cv_capacity,linear_slope,mean_degradation_rate,std_degradation_rate,mean_acceleration,std_acceleration,quadratic_coef,residual_std,residual_range,is_problematic,mean_mae
1-5,1921.0,1.1795474133333332,0.8805320888888889,0.29901532444444434,0.2535000467674667,1.0601529794759674,0.08416244994233855,0.07938708051732304,-0.00015001581478000595,-0.0001557371481481481,0.0002753584762730437,-6.327045336112372e-07,0.0004522452697036285,-4.5988425544825966e-08,0.012753779637401253,0.05092173255144761,True,0.02223729276417155
4-2,1760.0,1.1945006222222223,0.8797714222222223,0.31472920000000004,0.26348182172938917,1.0897175901666667,0.08619676049223175,0.07910009095021436,-0.0001622996142465165,-0.00017892507106310405,0.00032362297502454827,-3.6698268234098027e-07,0.0005300007975754461,-1.0430427947444426e-07,0.025106792800537032,0.09702269280345288,True,0.01809659192752022
3-5,2656.0,1.2287575466666667,0.8801382933333333,0.34861925333333343,0.28371687667681583,1.0910136825803214,0.09789897694332231,0.08973212573446795,-0.00012375054587757356,-0.0001313066867545512,0.00025644610117767964,5.503541823661609e-07,0.00041151904916370913,-4.455809036983728e-08,0.024116101254729117,0.07968474425009675,False,0.016518643036125654
10-4,1790.0,1.194710008888889,0.8797747377777778,0.3149352711111111,0.26360812981219517,1.092838193022967,0.08563423821614723,0.0783594852036321,-0.00015766735988904156,-0.0001760398385193466,0.00029595077776557206,-1.074203330847487e-06,0.00045328530049028163,-1.0490730135921195e-07,0.026375474141333947,0.10370847197144806,False,0.014438341394261053
4-1,2134.0,1.1818489955555556,0.8993628711111112,0.2824861244444443,0.23902048866374437,1.0756587520858065,0.07131384736068583,0.06629783583539052,-0.00011299906215660723,-0.00013243606396832832,0.00027195624057348416,-1.1907275380444396e-06,0.00042314173651102007,-4.2579823542262963e-08,0.015490566291096273,0.07240622248594764,False,0.014002452973684866
2-3,1735.0,1.1821389155555555,0.8805552177777778,0.3015836977777777,0.2551169695957823,1.0837468814755045,0.08817404782705017,0.08136037052028476,-0.00016784412298256868,-0.00017392370114058692,0.00029183046566054737,-7.340078220171159e-07,0.00046223281329285117,-1.1406416972078697e-07,0.026603534723490484,0.09232317201144147,False,0.011341980417454966
9-7,2000.0,1.1956785955555556,0.8800947377777778,0.31558385777777775,0.2639370303615296,1.08938561852,0.08666909534868265,0.07955777446963928,-0.00014437912791930864,-0.0001578708643210494,0.0002813509964729945,-5.9161383605824e-07,0.00044355858005330144,-7.637098885565573e-08,0.0237295097453936,0.0926777443050345,False,0.011110555837551753
1-4,1469.0,1.1835188266666667,0.8807059555555555,0.3028128711111112,0.25585809392147274,1.080614002626125,0.0875541206624344,0.0810225672161003,-0.00019722314318766266,-0.00020627579775961253,0.0002919328212035779,-7.6550480951288e-07,0.00044173102150977026,-1.53827422387008e-07,0.025901394788308947,0.09023053619057297,False,0.007276589702201967
9-8,2276.0,1.189521031111111,0.8810846044444445,0.3084364266666666,0.2592946392705318,1.0825349200976373,0.08591724728447925,0.07936672128482479,-0.00012635843759393673,-0.00013557645128205124,0.00026967042862265236,-5.829414638913302e-07,0.0004299117101942811,-5.5728235506385446e-08,0.022121352487678176,0.08497643303162694,False,0.006556427890820049
3-6,2451.0,1.1952697066666669,0.8798488,0.3154209066666669,0.2638909903826672,1.0800123679151368,0.08619696499183936,0.07981109064355862,-0.00011804073295234866,-0.00012874322721088445,0.00025355994626373733,-2.2745610453246574e-07,0.00040702308137650916,-4.59388224510901e-08,0.021319405717522874,0.08067559044676409,False,0.0061461855388248625
10-6,2281.0,1.231382097777778,0.8803456355555556,0.3510364622222225,0.2850751711071022,1.1021974248448536,0.09861890749994706,0.08947481211347301,-0.00014390519586134429,-0.0001539633606237818,0.00027103385085935596,8.532397250266182e-08,0.00044116221148509516,-6.879405381749935e-08,0.02732779593989081,0.09417625654566786,False,0.005696374405271806
9-1,2035.0,1.2064848177777778,0.8803301422222222,0.32615467555555566,0.27033467039916786,1.0972750883101283,0.0861845336481283,0.07854414500638834,-0.00014155838599389493,-0.00016035136457991922,0.000285991715622577,-8.779931136252128e-07,0.0004443973952077078,-6.953047449937104e-08,0.02263519256235194,0.0977486050753017,False,0.005251265362966852
7-2,2010.0,1.1997721422222225,0.8809977866666667,0.3187743555555558,0.2656957469983598,1.087237411259259,0.08175165931690964,0.07519209555365033,-0.00013616719822697794,-0.00015867314860903723,0.00027888089437725846,-7.263523683043304e-07,0.0004413144335540305,-6.450126742517903e-08,0.020996996366298815,0.09254971097917342,False,0.0048794138886244535
8-8,1669.0,1.195035982222222,0.8806516355555556,0.3143843466666665,0.26307521392122013,1.0937114445216696,0.08921507846939067,0.0815709471783104,-0.000177977211412081,-0.00018847982414068733,0.0003006904950699737,-1.0315750183297266e-06,0.0004579963335613382,-1.1494608356475292e-07,0.02462532021028666,0.09355460203316368,False,0.00436677865123044
4-5,1544.0,1.1895741155555557,0.8806068800000001,0.3089672355555556,0.25972928589763533,1.0847254040932641,0.08554081918334594,0.07885942272629874,-0.00018269233320201777,-0.00020023800100813714,0.00029206907133315135,4.204813373684747e-07,0.00045682585047782185,-1.440334364463122e-07,0.026203373800451523,0.0958182550860116,False,0.004235602271886275
10-7,1771.0,1.1909577244444445,0.8800467377777778,0.3109109866666667,0.2610596331718658,1.0892181858134136,0.08744956770416337,0.08028654758353783,-0.00016463972399945623,-0.00017565592467043317,0.00029518531144354906,-1.0505521009986944e-06,0.00046054696858705875,-9.811566888229291e-08,0.023720650871341974,0.0919264223226165,False,0.004029198260983123
