Battery,cnn_lstm,gru,bigru,Mean_MAE,Std_MAE,Max_MAE,Min_MAE
1-5,0.021880989301831445,0.019861613475426233,0.02496927551525698,0.02223729276417155,0.0021003598098482484,0.02496927551525698,0.0021003598098482484
4-2,0.018950347322700054,0.016145174271973116,0.01919425418788749,0.01809659192752022,0.001383448779802878,0.01919425418788749,0.001383448779802878
3-5,0.013793927112437156,0.01649392748543297,0.019268074510506838,0.016518643036125654,0.002234879650418608,0.019268074510506838,0.002234879650418608
10-4,0.013925138299025636,0.014287436607829685,0.015102449275927837,0.014438341394261053,0.000492337604366168,0.015102449275927837,0.000492337604366168
4-1,0.012588229571532845,0.014935843499888855,0.014483285849632899,0.014002452973684866,0.001016930997363186,0.014935843499888855,0.001016930997363186
2-3,0.008929058488576488,0.009718974007653229,0.015377908756135176,0.011341980417454966,0.0028719946376506438,0.015377908756135176,0.0028719946376506438
9-7,0.010262925118207932,0.009839354097843171,0.013229388296604156,0.011110555837551753,0.0015081868461773896,0.013229388296604156,0.0015081868461773896
1-4,0.008625117794358868,0.0068119310293983165,0.006392720282848714,0.007276589702201967,0.0009687897687348269,0.008625117794358868,0.0009687897687348269
9-8,0.006505400858989709,0.00575507182123791,0.007408810992232525,0.006556427890820049,0.0006760996622311193,0.007408810992232525,0.0006760996622311193
3-6,0.005986373407993449,0.005620864788788477,0.006831318419692663,0.0061461855388248625,0.0005069217138855134,0.006831318419692663,0.0005069217138855134
10-6,0.005283077209469311,0.005672443597685711,0.006133602408660394,0.005696374405271806,0.00034763754235175235,0.006133602408660394,0.00034763754235175235
9-1,0.00415115871944943,0.005342696574161913,0.006259940795289211,0.005251265362966852,0.0008633308406519603,0.006259940795289211,0.0008633308406519603
7-2,0.005295372157547605,0.004710922460650923,0.004631947047674834,0.0048794138886244535,0.00029588876296996505,0.005295372157547605,0.00029588876296996505
8-8,0.005023367359225374,0.004192755242319718,0.0038842133521462285,0.00436677865123044,0.000481062070213952,0.005023367359225374,0.000481062070213952
4-5,0.004072970831332429,0.004519132057619836,0.004114703926706561,0.004235602271886275,0.00020120846132136333,0.004519132057619836,0.00020120846132136333
10-7,0.004134984995132782,0.0038134733005676614,0.004139136487248925,0.004029198260983123,0.00015254999755574542,0.004139136487248925,0.00015254999755574542
